ID,PrimaryKey,Plant_sp_count,BareSoilCover,TotalFoliarCover,FH_TotalLitterCover,latitude,longitude,CRS
103,WY_WY_NewcastleFieldOffice_2021_GR-104_V12021-09-01,74,24.66666667,65.33333333,8,43.54762463,-104.2349996,4326
104,1808081423552552018-09-01,73,2,97.33333333,0.66666667,39.764977,-106.814886,4326
105,COF07000_OverSample2019_Cotton-20382019-09-01,73,2.01342282,82.55033557,14.76510067,38.22251817,-107.2821895,4326
106,CO_GFO_LUP_2020_Alpine-286_V12023-09-01,73,6,65.33333333,21.33333333,37.95262013,-107.2451328,4326
107,CO_KFO_LUP_2021_KFO2021_NR_015_V12022-09-01,73,8.66666667,74.66666667,12.66666667,40.20809957,-106.3329204,4326
108,MT_BIFO-Random-2020_RpWet-211_V12020-09-01,73,3.33333333,84,10.66666667,45.09732638,-109.2004587,4326
109,WY_NFO_LUP_2022_NFO2022_NR_003_V12022-09-01,73,23.33333333,68,8.66666667,42.99371455,-104.5525545,4326
110,WY_NFO_LUP_2022_NFO2022_NR_032_V12022-09-01,73,22,71.33333333,6,43.2216288,-104.7918146,4326
111,17061909265572192017-09-01,72,6.66666667,72,6.66666667,40.363968,-108.362265,4326
112,18090512281250222018-09-01,72,10.66666667,64.66666667,9.33333333,40.675562,-106.485453,4326
113,CON04000_2019_GOS-1432019-09-01,72,7.33333333,76,5.33333333,39.92209395,-106.8518649,4326
114,CO_CRVFO_LUP_2021_UFP_113_V12022-09-01,72,2,94.66666667,3.33333333,39.33962875,-107.1285321,4326
115,CO_KFO_LUP_2021_KFO2021-121_V12023-09-01,72,6,81.33333333,11.33333333,40.18634055,-106.3349487,4326
116,CO_KFO_LUP_2021_KFO2021-143_V12023-09-01,72,11.33333333,80.66666667,7.33333333,40.10279647,-106.2380008,4326
117,CO_RGFO_LUP_2022_RA-034_V12023-09-01,72,3.33333333,89.33333333,6,38.64204342,-105.3637989,4326
118,MTL0600_2019_GRMB-0372019-09-01,72,31.33333333,56.66666667,0.66666667,47.58066154,-109.839166,4326
119,MTL0600_2020_MSMB-0862019-09-01,72,19.33333333,78,1.33333333,47.84701976,-108.7224705,4326
120,WY_Land-Use-Plan-Sample-Design-2021_MGP-291_V12021-09-01,72,26,38.66666667,35.33333333,44.21237791,-106.0498672,4326
121,WY_NFO_LUP_2022_NFO2022_NR_025_V12022-09-01,72,24,67.33333333,3.33333333,43.16819216,-104.7490019,4326
122,WY_NFO_LUP_2022_NFO2022_NR_040_V12022-09-01,72,6.66666667,85.33333333,6.66666667,44.09296326,-104.9563296,4326
123,WY_WY-Kemmerer-FO-2021_KFO2021-016_V22021-09-01,72,26,53.33333333,16.66666667,41.09636081,-110.3325702,4326
124,CO_GFO_LUP_2020_Cotton_2032_V22022-09-01,71,7.33333333,52,21.33333333,38.36565586,-107.0586733,4326
125,CO_KFO_LUP_2021_KFO2021_056_V22022-09-01,71,0.66666667,93.33333333,6,40.77785744,-106.5063099,4326
126,MTL00000_2018_CO-4442019-09-01,71,0.66666667,88.66666667,9.33333333,47.77946126,-112.6615208,4326
127,WY_CAFO_LUP_2022_CAFO2022_NR_021_V12022-09-01,71,4,87.33333333,8.66666667,42.71734847,-106.4097598,4326
128,WY_NFO_LUP_2022_NFO2022_NR_026_V12022-09-01,71,10,76,10,43.17350869,-104.3051777,4326
129,23053012082736912023-09-01,70,37.33333333,46.66666667,7.33333333,44.886446,-105.919675,4326
130,CON04000_2019_BCF-142019-09-01,70,2,62,24.66666667,40.95662571,-106.4537569,4326
131,CO_KFO_LUP_2021_KFO2021_077_V12022-09-01,70,18.66666667,62,11.33333333,40.19520192,-106.3805174,4326
132,CO_RGFO_LUP_2022_FO-172_V12023-09-01,70,14.66666667,66,18,38.68331943,-105.5204999,4326
133,MTC02000_2018_SiltyLoamy-2622018-09-01,70,8.66666667,68.66666667,19.33333333,47.84391421,-106.4779128,4326
134,MTL00000_2019_GR-1562019-09-01,70,11.33333333,88,0,47.97078731,-109.126592,4326
135,WY_COFO_LUP_2022_COFO2022_NR_020_V12022-09-01,70,5.33333333,74.66666667,10,44.31669857,-108.7424048,4326
136,WY_CYFO-2021_BAR-095_V12021-09-01,70,3.33333333,74,22,44.44828513,-108.9744397,4326
137,WY_LFO_LUP_2022_LFO2022-059_V12023-09-01,70,4.66666667,74.66666667,14,42.76062923,-107.9573469,4326
138,WY_NFO_LUP_2022_NFO2022_002_V12022-09-01,70,6.66666667,78,5.33333333,44.76618718,-104.8081209,4326
139,WY_NFO_LUP_2022_NFO2022_NR_034_V12022-09-01,70,7.33333333,68,12.66666667,43.71686824,-104.0840537,4326
140,WY_WFO-Terrestrial-AIM-2021_SH-PHMA-237_V12021-09-01,70,3.33333333,70,26.66666667,43.68216978,-107.5285755,4326
141,WY_WY-Kemmerer-FO-2021_KFO2021-019_V22021-09-01,70,8,74,18,42.08499038,-110.6507667,4326
142,WY_WY-Kemmerer-FO-2021_KFO2021-TARGET-001_V12021-09-01,70,18.66666667,55.33333333,23.33333333,42.22693368,-110.8475498,4326
143,WY_WYAIM-RAFO-2021_RFO2021-030_V12021-09-01,70,41.33333333,35.33333333,21.33333333,42.18765169,-107.2421892,4326
144,WY_WY_LanderFieldOffice_2016_OTH-271_V12021-09-01,70,17.33333333,34.66666667,7.33333333,43.34796527,-107.7754672,4326
145,WY_WY_LanderFieldOffice_2016_WY_SAGE-595_V12021-09-01,70,12.66666667,62.66666667,19.33333333,42.65423111,-107.1599133,4326
146,WY_WY_NewcastleFieldOffice_2021_SH-220_V12021-09-01,70,6,92,2,43.39882362,-104.3470872,4326
147,WY_WY_PinedaleFieldOffice_2021_WS-004_V12021-09-01,70,32.66666667,44.66666667,14.66666667,42.77955396,-110.1291869,4326
148,17082813023993742017-09-01,69,0.66666667,90,3.33333333,38.64059,-105.352423,4326
149,22051312062665102022-09-01,69,5,87,8,44.319257,-105.744623,4326
150,CON02000_2019_MtnSage-3012019-09-01,69,6.66666667,82.66666667,10,39.96557405,-106.1725953,4326
151,CON02000_2019_QA-5082019-09-01,69,0.66666667,99.33333333,0,40.77789637,-106.5063143,4326
152,MTC01000_2019_INT-BBGC-CFrst-012019-09-01,69,0,99.32885906,0.67114094,45.12023871,-109.2429253,4326
153,MTL0600_2019_RIMB-1322019-09-01,69,8,84.66666667,4,48.03073811,-109.1481751,4326
154,MT_LFO-Random-Intensified-fuels-2020_AlexCamp2015WF-01_V12020-09-01,69,6,57.33333333,36,47.40914297,-108.0999679,4326
155,MT_MCFO_AIMLite_2023_PineRidge_X2_V22023-09-01,69,6,84.66666667,9.33333333,45.98854212,-105.8014288,4326
156,MT_MCFO_LUP_2017_Shallow-218_V12021-09-01,69,0.67,94.66,4.67,45.21646559,-105.4843888,4326
157,WY_BFO_LUP_2022_BFO2022-NR-061_V12023-09-01,69,35.33333333,49.33333333,2,44.30495854,-106.0872553,4326
158,18081516354992072018-09-01,68,6.66666667,84,9.33333333,44.51353,-105.06062,4326
159,22051311242473312022-09-01,68,24,64,8.66666667,44.53273,-105.908028,4326
160,CO_CO-NWD-2020_CW-1034_V12020-09-01,68,13.33333333,73.33333333,10.66666667,39.84192507,-108.0037123,4326
161,CO_KFO_INT_BOLTDRW_2021_Bolton-Draw-T2_V32023-09-01,68,22.66666667,60.66666667,14,40.68059539,-106.122208,4326
162,CO_SWDO_Fuels_2022_Red_Creek-07_V12023-09-01,68,2,92.66666667,4.66666667,38.49254698,-107.2345511,4326
163,CO_UFO_GUSGHAF_2022_PoisonSprings-177_V12023-09-01,68,11.33333333,67.33333333,14,38.61584695,-107.646649,4326
164,MT_MCFO_AIMLite_2023_KnowltonPHXI_V22023-09-01,68,0,94,6,46.278978,-105.0300422,4326
165,WY_BFO_LUP_2022_BFO2022-NR-068_V12023-09-01,68,8,82.66666667,5.33333333,43.62245372,-106.2914748,4326
166,WY_CYFO-2021_BAR-099_V12021-09-01,68,34.66666667,43.33333333,16,44.95266342,-108.3924594,4326
167,WY_NFO_LUP_2022_NFO2022-011_V12023-09-01,68,29.33333333,62,6,43.08974318,-104.6808885,4326
168,WY_NFO_LUP_2022_NFO2022_NR_016_V12022-09-01,68,7.33333333,86.66666667,1.33333333,43.06129375,-104.6470865,4326
169,WY_WY_LanderFieldOffice_2016_WY_SAGE-604_V12021-09-01,68,32,42.66666667,20,42.86550806,-107.5429588,4326
170,WY_WY_RockSpringsFO_2021_RDI2021-005_V12021-09-01,68,19.33333333,52.66666667,28,41.65037966,-108.4637856,4326
171,CO_CO_Kremmling_Field_Office_LUP_2021_KFO2021-005_V12021-09-01,67,3.33333333,78,14.66666667,40.96927184,-105.921961,4326
172,CO_GFO_LUP_2020_Alpine-288_V12023-09-01,67,0.66666667,70.66666667,13.33333333,38.01231554,-107.5058877,4326
173,CO_GFO_LUP_2020_Alpine-341_V12023-09-01,67,5.33333333,63.33333333,15.33333333,37.91377028,-107.5715389,4326
174,CO_KFO_LUP_2021_KFO2021-136_V22023-09-01,67,0.66666667,92,6.66666667,39.98914281,-106.3212313,4326
